source_hgnc	interaction_directed_signed	target_hgnc	source_uniprot	target_uniprot	source_hgnc_status	target_hgnc_status
GSK3B	-1	CTNNB1	P49841	P35222	1	1
MDM2	-1	NUMB	Q00987	P49757	1	1
GSK3B	-1	DPYSL2	P49841	Q16555	1	1
PTK6	1	PTK6	Q13882	Q13882	1	1
GSK3B	-1	CTNNB1	P49841	P35222	1	1
GSK3B	-1	DPYSL3	P49841	Q14195	1	1
GSK3B	-1	DPYSL3	P49841	Q14195	1	1
GSK3B	-1	CTNNB1	P49841	P35222	1	1
GSK3B	-1	CTNNB1	P49841	P35222	1	1
MMP3	1	HBEGF	P08254	Q99075	1	1
NRG2	1	ERBB3	O14511	P21860	1	1
GSK3B	-1	DPYSL3	P49841	Q14195	1	1
AMER1	1	GSK3B	Q5JTC6	P49841	1	1
GSK3B	-1	DPYSL3	P49841	Q14195	1	1
CSNK1D	1	TP53	P48730	P04637	1	1
NTRK1	1	NTRK1	P04629	P04629	1	1
AXIN2	1	GSK3B	Q9Y2T1	P49841	1	1
CSNK1A1	1	GSK3B	P48729	P49841	1	1
CSNK1A1	1	GSK3B	P48729	P49841	1	1
AKT1	-1	FOXO1	P31749	Q12778	1	1
DVL1	-1	GSK3B	O14640	P49841	1	1
FRAT1	1	GSK3B	Q92837	P49841	1	1
CDC7	1	MCM2	O00311	P49736	1	1
ATM	1	BRCA1	Q13315	P38398	1	1
HNF1B	1	ATF1	P35680	P18846	1	1
PSMA6	-1	XBP1	P60900	P17861	1	1
PSMA7	-1	XBP1	O14818	P17861	1	1
CUL3	-1	HSF2	Q13618	Q03933	1	1
PCM1	1	CEP250	Q15154	Q9BV73	1	1
CyclinA2/CDK2	-1	CDC6	SIGNOR-C83	Q99741	0	1
PRKACA	-1	RGS10	P17612	O43665	1	1
CyclinA2/CDK2	-1	RUNX1	SIGNOR-C83	Q01196	0	1
ULK1	1	RB1CC1	O75385	Q8TDY2	1	1
TRADD	1	TRAF5	Q15628	O00463	1	1
TP53	1	GADD45A	P04637	P24522	1	1
ATF3	1	PCLAF	P18847	Q15004	1	1
ETV4	1	POU5F1	P43268	Q01860	1	1
MYC	1	CCND2	P01106	P30279	1	1
CAPRIN2	1	LRP6	Q6IMN6	O75581	1	1
TP53	1	BAX	P04637	Q07812	1	1
HNF4A	1	GK	P41235	P32189	1	1
PSMA5	-1	XBP1	P28066	P17861	1	1
HNF1B	1	CREB1	P35680	P16220	1	1
cyclosporin A	-1	PPP3CC	CID:5284373	P48454	0	1
tacrolimus	-1	PPP3CB	CID:445643	P16298	0	1
CDK1	1	ECT2	P06493	Q9H8V3	1	1
ATM	1	BRCA1	Q13315	P38398	1	1
SRC	1	PTK2	P12931	Q05397	1	1
MAPK1	1	CTTN	P28482	Q14247	1	1
MAPK1	1	CTTN	P28482	Q14247	1	1
PRKACA	-1	CAD	P17612	P27708	1	1
AKT1	-1	FOXO1	P31749	Q12778	1	1
PIM1	-1	MARK3	P11309	P27448	1	1
tacrolimus	-1	PPP3CC	CID:445643	P48454	0	1
MLLT1	form complex	AEP complex	Q03111	SIGNOR-C117	1	0
AFF1	form complex	AEP complex	P51825	SIGNOR-C117	1	0
CDK9	form complex	AEP complex	P50750	SIGNOR-C117	1	0
AIMP1	1	SMURF2	Q12904	Q9HAU4	1	1
CCNT1	form complex	AEP complex	O60563	SIGNOR-C117	1	0
PD 98059	-1	MEK1/2	CID:4713	SIGNOR-PF25	0	0
ATM	1	BRCA1	Q13315	P38398	1	1
CDK5	1	HTT	Q00535	P42858	1	1
ATM	1	BRCA1	Q13315	P38398	1	1
ATM	1	BRCA1	Q13315	P38398	1	1
TGFBR2	1	PARD6A	P37173	Q9NPB6	1	1
SRC	1	PTK2B	P12931	Q14289	1	1
SMAD3	-1	MYC	P84022	P01106	1	1
DDX5	form complex	DDX5/DDX17	P17844	SIGNOR-C40	1	0
PARD6A	1	PRKCA	Q9NPB6	P17252	1	1
CTNNB1	1	CCND1	P35222	P24385	1	1
AURKB	-1	KNL1	Q96GD4	Q8NG31	1	1
CAMK2A	unknown	KRT18	Q9UQM7	P05783	1	1
ATM	1	BRCA1	Q13315	P38398	1	1
TGFBR1	1	RHOA	P36897	P61586	1	1
TGFBR1	1	SHC1	P36897	P29353	1	1
HDAC4	-1	RUNX2	P56524	Q13950	1	1
CDON	form complex	CDON/BOC/PTCH1	Q4KMG0	SIGNOR-C95	1	0
BOC	form complex	CDON/BOC/PTCH1	Q9BWV1	SIGNOR-C95	1	0
NUMB	1	TP53	P49757	P04637	1	1
MAPK10	-1	STMN2	P53779	Q93045	1	1
PTCH1	form complex	CDON/BOC/PTCH1	Q13635	SIGNOR-C95	1	0
SMO	1	KIF7	Q99835	Q2M1P5	1	1
KIF7	1	GLI3	Q2M1P5	P10071	1	1
DOT1L	1	MYC	Q8TEK3	P01106	1	1
FOXO3	1	FASLG	O43524	P48023	1	1
CDK2	1	BRCA1	P24941	P38398	1	1
CDK1	1	BRCA1	P06493	P38398	1	1
CDC5L	1	HNRNPM	Q99459	P52272	1	1
PLRG1	1	HNRNPM	O43660	P52272	1	1
GLI1	1	HHIP	P08151	Q96QV1	1	1
MIB1	1	DLL4	Q86YT6	Q9NR61	1	1
GLI1	1	GLI1	P08151	P08151	1	1
PONATINIB	-1	SRC	CID:24826799	P12931	0	1
CDK1	1	BRCA1	P06493	P38398	1	1
MAPK10	-1	STMN2	P53779	Q93045	1	1
CyclinD/CDK4	-1	RB1	SIGNOR-C18	P06400	0	1
PPM1F	-1	CAMK2A	P49593	Q9UQM7	1	1
GLI1	1	PTCH1	P08151	Q13635	1	1
PRL	1	PRLR	P01236	P16471	1	1
PTK6	1	KHDRBS1	Q13882	Q07666	1	1
PTK6	1	STAP2	Q13882	Q9UGK3	1	1
RUNX2	1	COL2A1	Q13950	P02458	1	1
MAPK1	1	SPHK2	P28482	Q9NRA0	1	1
CSNK2A1	-1	GRIN2B	P68400	Q13224	1	1
EGFR	1	PCNA	P00533	P12004	1	1
Selumetinib	-1	MAP2K1	CID:10127622	Q02750	0	1
CAMK2A	-1	CREB1	Q9UQM7	P16220	1	1
EGFR	1	ESR1	P00533	P03372	1	1
GPER1	1	EGFR	Q99527	P00533	1	1
GLI2	1	GLI1	P10070	P08151	1	1
PDGFB	1	PDGFRB	P01127	P09619	1	1
CDK5	-1	CDK5R1	Q00535	Q15078	1	1
GLI2	1	PTCH1	P10070	Q13635	1	1
GLI2	1	HHIP	P10070	Q96QV1	1	1
PARK7	form complex	MTA1/DJ1 complex	Q99497	SIGNOR-C123	1	0
SRF	1	TAGLN	P11831	Q01995	1	1
TEAD1	1	FOXO3	P28347	O43524	1	1
KAT2A	1	SMAD2	Q92830	Q15796	1	1
TP53	1	TNFRSF10B	P04637	O14763	1	1
ABL1	1	LASP1	P00519	Q14847	1	1
CAMK2A	unknown	LRRC7	Q9UQM7	Q96NW7	1	1
ERBB2	1	ERBB2	P04626	P04626	1	1
PRKCD	1	SMPD1	Q05655	P17405	1	1
KAT2A	1	SMAD3	Q92830	P84022	1	1
ATRX	1	ZBED1	P46100	O96006	1	1
ATRX	-1	GATA4	P46100	P43694	1	1
PPP2R2A	1	TGFBR1	P63151	P36897	1	1
U2AF1	form complex	U2AF1/U2AF2	Q01081	SIGNOR-C78	1	0
ERBB2	1	ERBB2	P04626	P04626	1	1
PRKACA	1	ESR1	P17612	P03372	1	1
MAPK3	1	SPHK2	P27361	Q9NRA0	1	1
ATM	1	BRCA1	Q13315	P38398	1	1
MAPK3	1	TWIST1	P27361	Q15672	1	1
MAPK3	1	SPHK2	P27361	Q9NRA0	1	1
MAPK11	1	TWIST1	Q15759	Q15672	1	1
MAPK14	1	TWIST1	Q16539	Q15672	1	1
tamoxifen	1	GPER1	CID:2733526	Q99527	0	1
NUMB	1	TP53	P49757	P04637	1	1
TGFBR1	1	PIK3R2	P36897	O00459	1	1
GLI3	1	PTCH1	P10071	Q13635	1	1
ZBED1	-1	GATA4	O96006	P43694	1	1
ABL1	1	ESR1	P00519	P03372	1	1
ABL1	1	ESR1	P00519	P03372	1	1
MAPK8	1	TWIST1	P45983	Q15672	1	1
MTA1	form complex	MTA1/DJ1 complex	Q13330	SIGNOR-C123	1	0
PITX3	1	MTA1	O75364	Q13330	1	1
MTA1/DJ1 complex	1	TH	SIGNOR-C123	P07101	0	1
DDX17	form complex	DDX5/DDX17	Q92841	SIGNOR-C40	1	0
TNFRSF1A	1	TRADD	P19438	Q15628	1	1
TRADD	1	TRAF2	Q15628	Q12933	1	1
VEGFA	1	FLT1	P15692	P17948	1	1
CDK2	1	PELP1	P24941	Q8IZL8	1	1
MAPK14	1	ELK1	Q16539	P19419	1	1
STK3	1	STK3	Q13188	Q13188	1	1
CDK2	1	CDC25C	P24941	P30307	1	1
PBK	1	GPSM2	Q96KB5	P81274	1	1
CDK4	1	PELP1	P11802	Q8IZL8	1	1
CDK4	1	PELP1	P11802	Q8IZL8	1	1
AURKB	1	DIAPH2	Q96GD4	O60879	1	1
CHUK	1	NCOA3	O15111	Q9Y6Q9	1	1
CAMK2A	-1	NOS1	Q9UQM7	P29475	1	1
PAK1	1	TBCB	Q13153	Q99426	1	1
PAK1	1	TBCB	Q13153	Q99426	1	1
TGM2	1	HIST1H3A	P21980	P68431	1	1
Torin 2	-1	MTOR	CID:51358113	P42345	0	1
LRRK2	-1	LRRK2	Q5S007	Q5S007	1	1
FBXO11	-1	BCL6	Q86XK2	P41182	1	1
Immune complexes	1	FCGR1A	SIGNOR-ST15	P12314	0	1
MAPK3	-1	SMAD1	P27361	Q15797	1	1
AKT1	1	BRCA1	P31749	P38398	1	1
AKT2	1	MTOR	P31751	P42345	1	1
PALB2	1	BRCA2	Q86YC2	P51587	1	1
estradiol	1	ESR1	CID:5757	P03372	0	1
estradiol	1	ESR2	CID:5757	Q92731	0	1
FGFR2	1	MEK1/2	P21802	SIGNOR-PF25	1	0
CDK6	-1	CDKN1A	Q00534	P38936	1	1
CSNK2A1	1	WAS	P68400	P42768	1	1
MAPK1	1	ESR1	P28482	P03372	1	1
UIMC1	1	BRCA1	Q96RL1	P38398	1	1
MAPK1	1	ESR1	P28482	P03372	1	1
ASIP	1	ATRN	P42127	O75882	1	1
MTOR	1	STAT3	P42345	P40763	1	1
MAPK3	1	ESR1	P27361	P03372	1	1
MAPK3	1	ESR1	P27361	P03372	1	1
PRKACA	-1	PLIN1	P17612	O60240	1	1
CDK1	1	MCL1	P06493	Q07820	1	1
PRKCA	1	ADD1	P17252	P35611	1	1
MAPK8	1	MCL1	P45983	Q07820	1	1
PTK6	1	ARHGAP5	Q13882	Q13017	1	1
MAPK1	1	MCL1	P28482	Q07820	1	1
CyclinE/CDK2	1	UBTF	SIGNOR-C16	P17480	0	1
RPGRIP1L	-1	RELA	Q68CZ1	Q04206	1	1
SREBF1	1	PKM	P36956	P14618	1	1
LRIG1	1	CBLC	Q96JA1	Q9ULV8	1	1
RPS6KA3	1	YBX1	P51812	P67809	1	1
MAPK1	1	RPS6KB1	P28482	P23443	1	1
MAPK1	1	RPS6KB1	P28482	P23443	1	1
KDM2A	-1	RELA	Q9Y2K7	Q04206	1	1
CAMK2A	unknown	PDC	Q9UQM7	P20941	1	1
CAMK2A	1	SRF	Q9UQM7	P11831	1	1
RPS6KA1	1	YBX1	Q15418	P67809	1	1
BMI1	-1	PTEN	P35226	P60484	1	1
AXIN2	1	APC	Q9Y2T1	P25054	1	1
PRPF4B	1	ELK1	Q13523	P19419	1	1
PRKCD	1	PLSCR1	Q05655	O15162	1	1
CSNK1D	1	NCOA3	P48730	Q9Y6Q9	1	1
FBXW11	1	SUFU	Q9UKB1	Q9UMX1	1	1
BMP2	1	BMPR1A/1B/2	P12643	SIGNOR-C29	1	0
IL17B	1	IL17RB	Q9UHF5	Q9NRM6	1	1
CAMK1	-1	NOS1	Q14012	P29475	1	1
SRC	1	EZR	P12931	P15311	1	1
SRC	1	CYP19A1	P12931	P11511	1	1
CSNK1A1	-1	FOXO3	P48729	O43524	1	1
CSNK1A1	-1	FOXO3	P48729	O43524	1	1
IL3	1	IL3RA	P08700	P26951	1	1
TNFRSF17	1	MAPK11	Q02223	Q15759	1	1
WWTR1	1	SMAD2	Q9GZV5	Q15796	1	1
EP300	1	SMAD1	Q09472	Q15797	1	1
PIK3C2A	1	PIPP	O00443	CID:24755493	1	0
PIK3C2A	1	PtsIns(3,4,5)P3	O00443	CID:24755492	1	0
PIN1	1	MYC	Q13526	P01106	1	1
DLL1	1	PP2B	O00548	SIGNOR-PF18	1	0
PRKG1	-1	LASP1	Q13976	Q14847	1	1
CDK2	-1	PGR	P24941	P06401	1	1
ERBB2	-1	CDK1	P04626	P06493	1	1
PRKACA	unknown	STK24	P17612	Q9Y6E0	1	1
PRKACA	-1	LASP1	P17612	Q14847	1	1
CBP/p300	1	MYOD1	SIGNOR-C6	P15172	0	1
CCND1	1	CDK4	P24385	P11802	1	1
PPM1D	-1	H2AFX	O15297	P16104	1	1
SMAD3	1	SMAD3	P84022	P84022	1	1
CDK1	unknown	TSC1	P06493	Q92574	1	1
MAPK3	-1	PGR	P27361	P06401	1	1
MAPK1	-1	PGR	P28482	P06401	1	1
MAPK3	1	MCL1	P27361	Q07820	1	1
CDK2	-1	ARID4A	P24941	P29374	1	1
PRKCB	-1	LASP1	P05771	Q14847	1	1
MAPK1	-1	CDKN1B	P28482	P46527	1	1
MAPK3	-1	CDKN1B	P27361	P46527	1	1
CHUK	-1	FOXO3	O15111	O43524	1	1
ATM	-1	RBBP8	Q13315	Q99708	1	1
ATM	-1	RBBP8	Q13315	Q99708	1	1
EP300	1	MYOD1	Q09472	P15172	1	1
KAT2B	1	MYOD1	Q92831	P15172	1	1
KAT2B	1	MYOD1	Q92831	P15172	1	1
NGFR	1	Apoptosis	P08138	SIGNOR-PH2	1	0
IKBKB	-1	FOXO3	O14920	O43524	1	1
FOXA1	1	Apoptosis	P55317	SIGNOR-PH2	1	0
CHUK	1	NCOA3	O15111	Q9Y6Q9	1	1
PPM1F	-1	PAK2	P49593	Q13177	1	1
SRC	-1	PTEN	P12931	P60484	1	1
DLL3	1	PP2B	Q9NYJ7	SIGNOR-PF18	1	0
NFYB	form complex	NFY	P25208	SIGNOR-C1	1	0
Axitinib	-1	FLT1	CID:6450551	P17948	0	1
E2F2	1	CCNE1	Q14209	P24864	1	1
PRKACA	1	PFKFB2	P17612	O60825	1	1
AKT2	-1	CDKN1B	P31751	P46527	1	1
TP53	1	PERP	P04637	Q96FX8	1	1
RPL10	-1	JUN	P27635	P05412	1	1
Axitinib	-1	FLT4	CID:6450551	P35916	0	1
TP53INP1	1	MAP1LC3C	Q96A56	Q9BXW4	1	1
PAK2	-1	CASP7	Q13177	P55210	1	1
PLK1	-1	IKBKB	P53350	O14920	1	1
PLK1	-1	FADD	P53350	Q13158	1	1
Lapatinib Ditosylate	-1	ERBB2	CID:9941095	P04626	0	1
HNF1A	1	AKR1C4	P20823	P17516	1	1
FOXO1	1	BCL2L11	Q12778	O43521	1	1
FOXO3	1	BCL2L11	O43524	O43521	1	1
BCL2L11	1	BAK/BAX	O43521	SIGNOR-C96	1	0
AMPK	-1	mTORC1	SIGNOR-C15	SIGNOR-C3	0	0
GABARAP	1	mTORC1	O95166	SIGNOR-C3	1	0
CASP3	1	BAD	P42574	Q92934	1	1
MAPK3	-1	BCL2L11	P27361	O43521	1	1
CDK2	-1	ARID4A	P24941	P29374	1	1
PKN1	-1	FOXO1	Q16512	Q12778	1	1
VRK1	-1	BANF1	Q99986	O75531	1	1
CSNK2A1	-1	SEPT2	P68400	Q15019	1	1
VRK2	-1	BANF1	Q86Y07	O75531	1	1
INPPL1	-1	CBLC	O15357	Q9ULV8	1	1
MAPK10	-1	DIABLO	P53779	Q9NR28	1	1
BID	1	BAK/BAX	P55957	SIGNOR-C96	1	0
MIB1	1	DLL3	Q86YT6	Q9NYJ7	1	1
SIRT1	-1	FOXO3	Q96EB6	O43524	1	1
EP300	1	TP53	Q09472	P04637	1	1
TGFBR2	1	PIK3R1	P37173	P27986	1	1
TGFBR1	1	PIK3R1	P36897	P27986	1	1
TGFBR2	1	PIK3R2	P37173	O00459	1	1
HNF4G	1	AKR1C4	Q14541	P17516	1	1
HDAC5	-1	RUNX2	Q9UQL6	Q13950	1	1
HNF4A	1	AKR1C4	P41235	P17516	1	1
PLK3	-1	HIF1A	Q9H4B4	Q16665	1	1
CSNK2A1	-1	CARD9	P68400	Q9H257	1	1
CSNK2A1	-1	CARD9	P68400	Q9H257	1	1
BID	-1	BCL2L1	P55957	Q07817	1	1
BAK/BAX	1	CYCS	SIGNOR-C96	P99999	0	1
BCL2	-1	BAK/BAX	P10415	SIGNOR-C96	1	0
NOXA1	-1	BCL2	Q86UR1	P10415	1	1
SEPT12	-1	SEPT6	Q8IYM1	Q14141	1	1
PXN	1	ILK	P49023	Q13418	1	1
AGTR1	1	GNAQ	P30556	P50148	1	1
AGTR2	1	GNAQ	P50052	P50148	1	1
MTOR	-1	MAF1	P42345	Q9H063	1	1
PLK1	-1	IKBKB	P53350	O14920	1	1
CDK1	-1	PLEC	P06493	Q15149	1	1
CCKAR	1	GNAQ	P32238	P50148	1	1
NMB	1	NMBR	P08949	P28336	1	1
CSNK1A1	-1	RHOB	P48729	P62745	1	1
NR0B2	1	G6PC	Q15466	P35575	1	1
PLK1	-1	IKBKB	P53350	O14920	1	1
MAPK3	-1	BAD	P27361	Q92934	1	1
MAP2K1	1	CEBPA	Q02750	P49715	1	1
SMARCB1	1	CSF1	Q12824	P09603	1	1
DDB1	form complex	DDB2/DDB1	Q16531	SIGNOR-C39	1	0
NMBR	1	GNA12	P28336	Q03113	1	1
NMBR	1	GNA13	P28336	Q14344	1	1
PLK3	-1	HIF1A	Q9H4B4	Q16665	1	1
CDK1	1	RPS6KB1	P06493	P23443	1	1
CDK1	unknown	TOP2A	P06493	P11388	1	1
MAPK3	1	CIITA	P27361	P33076	1	1
KISS1	1	KISS1R	Q15726	Q969F8	1	1
APOE	1	SORL1	P02649	Q92673	1	1
LYN	1	PPP1R15A	P07948	O75807	1	1
KAT6A	1	RUNX1	Q92794	Q01196	1	1
ERK1/2	1	CEBPA	SIGNOR-PF1	P49715	0	1
EGFR	1	STAT5B	P00533	P51692	1	1
PRKACA	unknown	CLDN3	P17612	O15551	1	1
CDK1	unknown	TOP2A	P06493	P11388	1	1
EGFR	1	STAT5B	P00533	P51692	1	1
SRC	1	GLRB	P12931	P48167	1	1
MAPK3	1	SP1	P27361	P08047	1	1
IGF1R	1	SIRPA	P08069	P78324	1	1
CDK1	unknown	TOP2A	P06493	P11388	1	1
PDGFA	1	PDGFRA	P04085	P16234	1	1
KAT6A	1	RUNX2	Q92794	Q13950	1	1
KAT6B	1	RUNX2	Q8WYB5	Q13950	1	1
GIT1	1	PLCG1	Q9Y2X7	P19174	1	1
ATG4B	1	MAP1LC3B	Q9Y4P1	Q9GZQ8	1	1
MAPK9	1	IRS1	P45984	P35568	1	1
MAPK9	1	IRS1	P45984	P35568	1	1
CyclinB/CDK1	unknown	AMPH	SIGNOR-C17	P49418	0	1
CSNK2A1	unknown	EEF1D	P68400	P29692	1	1
CDC14B	-1	MAPK6	O60729	Q16659	1	1
CDK5	unknown	AMPH	Q00535	P49418	1	1
MAPKAPK2	unknown	SRF	P49137	P11831	1	1
CAMK2D	1	HDAC4	Q13557	P56524	1	1
PRKAA1	1	SIRT1	Q13131	Q96EB6	1	1
CDK5R1	1	CDK5	Q15078	Q00535	1	1
CHN1	1	CDK5R1	P15882	Q15078	1	1
TRAF7	1	Apoptosis	Q6Q0C0	SIGNOR-PH2	1	0
CyclinB/CDK1	1	KAT5	SIGNOR-C17	Q92993	0	1
TGFB1	1	TGFB1	P01137	P01137	1	1
RPS6KA5	1	RELA	O75582	Q04206	1	1
CDK1	1	UBA1	P06493	P22314	1	1
EIF2AK2	1	EIF2AK2	P19525	P19525	1	1
EGFR	1	STAT5B	P00533	P51692	1	1
CyclinB/CDK1	unknown	AMPH	SIGNOR-C17	P49418	0	1
PRKG1	1	FHOD1	Q13976	Q9Y613	1	1
ANGPT4	1	TEK	Q9Y264	Q02763	1	1
Survival Factors	-1	BAD	SIGNOR-ST8	Q92934	0	1
HMGB2	1	POU2F2	P26583	P09086	1	1
PBX1	1	MYOD1	P40424	P15172	1	1
BCL2L11	-1	BCL2L1	O43521	Q07817	1	1
HMGB1	1	IL2RA	P09429	P01589	1	1
BMPR1A/1B/2	1	SMAD1	SIGNOR-C29	Q15797	0	1
HMGB2	1	POU2F1	P26583	P14859	1	1
SGK1	1	NDRG2	O00141	Q9UN36	1	1
CDK5	unknown	AMPH	Q00535	P49418	1	1
HMGA1	1	POU3F1	P17096	Q03052	1	1
FOXP1	-1	HIP1R	Q9H334	O75146	1	1
AMPK	-1	mTORC1	SIGNOR-C15	SIGNOR-C3	0	0
MECOM	-1	SMAD3	Q03112	P84022	1	1
DLL1	1	NOTCH1	O00548	P46531	1	1
CDK1	1	MASTL	P06493	Q96GX5	1	1
AMPK	1	MFF	SIGNOR-C15	Q9GZY8	0	1
DLL4	1	NOTCH1	Q9NR61	P46531	1	1
MAP3K14	1	MAP3K14	Q99558	Q99558	1	1
TNFRSF13C	-1	TRAF3	Q96RJ3	Q13114	1	1
F2	1	F2R	P00734	P25116	1	1
PP2B	1	JUN	SIGNOR-PF18	P05412	0	1
CDK1	1	CSNK2B	P06493	P67870	1	1
DLL3	1	NOTCH1	Q9NYJ7	P46531	1	1
MIB1	1	DLL1	Q86YT6	O00548	1	1
HES1	-1	RBPJ/NOTCH	Q14469	SIGNOR-C97	1	0
IKK-complex	-1	FOXO3	SIGNOR-C14	O43524	0	1
MAP3K7	1	IKK-complex	O43318	SIGNOR-C14	1	0
IKBKG	1	IKK-complex	Q9Y6K9	SIGNOR-C14	1	0
SGK1	1	NDRG2	O00141	Q9UN36	1	1
PRKAA1	1	MFF	Q13131	Q9GZY8	1	1
STK4	1	FOXO3	Q13043	O43524	1	1
STK4	1	FOXO1	Q13043	Q12778	1	1
HIPK2	-1	CTBP1	Q9H2X6	Q13363	1	1
CyclinB/CDK1	unknown	AMPH	SIGNOR-C17	P49418	0	1
BMPR1A	1	SMAD1	P36894	Q15797	1	1
BMPR1A	1	SMAD5	P36894	Q99717	1	1
EDNRA	1	GNAQ	P25101	P50148	1	1
MSX2	1	SPEN	P35548	Q96T58	1	1
CD40	1	BIK	P25942	Q13323	1	1
FAS	1	RASSF1	P25445	Q9NS23	1	1
NOTCH1	1	NFKB2	P46531	Q00653	1	1
FOXO1	1	IGFBP1	Q12778	P08833	1	1
PRKCE	1	OCLN	Q02156	Q16625	1	1
JNK	1	FOXO4	SIGNOR-PF15	P98177	0	1
GRK2	-1	OPRD1	P25098	P41143	1	1
TDGF1	1	Skeletal Muscle Differentiation	P13385	SIGNOR-PH1	1	0
WNT5B	1	FZD3	Q9H1J7	Q9NPG1	1	1
PRKCE	1	OCLN	Q02156	Q16625	1	1
PRKCA	1	HSPB8	P17252	Q9UJY1	1	1
MKL1	1	SRF	Q969V6	P11831	1	1
TAB1	1	MAP3K7	Q15750	O43318	1	1
RELA	form complex	NfKb-p65/p50	Q04206	SIGNOR-C13	1	0
CDK1	1	SP1	P06493	P08047	1	1
MARK2	1	UTRN	Q7KZI7	P46939	1	1
SRC	1	CTNNB1	P12931	P35222	1	1
PIAS4	-1	SMAD3/SMAD4	Q8N2W9	SIGNOR-C9	1	0
MKL2	1	SRF	Q9ULH7	P11831	1	1
MYOCD	1	SRF	Q8IZQ8	P11831	1	1
PLCG1	1	inositol 1,4,5-trisphosphate	P19174	CID:439456	1	0
Dovitinib	-1	KIT	CID:9886808	P10721	0	1
TGFB1	-1	RNF111	P01137	Q6ZNA4	1	1
AURKA	1	MBD3	O14965	O95983	1	1
AURKA	1	MBD3	O14965	O95983	1	1
CDK5	unknown	AMPH	Q00535	P49418	1	1
CDK1	1	RPS6KB1	P06493	P23443	1	1
WWTR1	1	MYOD1	Q9GZV5	P15172	1	1
SGK1	-1	NDRG1	O00141	Q92597	1	1
DAPK3	1	MYL12B	O43293	O14950	1	1
MAP3K8	1	PLK1	P41279	P53350	1	1
RIPK1	1	MAP3K1	Q13546	Q13233	1	1
CSNK2A1	1	MAZ	P68400	P56270	1	1
SRPK1	1	SRSF1	Q96SB4	Q07955	1	1
MAPK14	1	ZNHIT1	Q16539	O43257	1	1
CSNK2A1	1	XRCC1	P68400	P18887	1	1
MAPK8	1	PKMYT1	P45983	Q99640	1	1
IKK-complex	-1	NFKBIA	SIGNOR-C14	P25963	0	1
PLK1	1	NPM1	P53350	P06748	1	1
CSNK2A1	1	PIP4K2A	P68400	P48426	1	1
VRK1	1	TP53	Q99986	P04637	1	1
MAP3K12	1	MYL12B	Q12852	O14950	1	1
PRDM16	1	Brown Adipogenesis	Q9HAZ2	SIGNOR-PH27	1	0
CDK5	1	CRMP1	Q00535	Q14194	1	1
PRKCD	1	DNM1L	Q05655	O00429	1	1
PRKAA1	1	FOXO3	Q13131	O43524	1	1
SRC	1	PDPK1	P12931	O15530	1	1
PLK2	1	NPM1	Q9NYY3	P06748	1	1
PBK	1	PRDX1	Q96KB5	Q06830	1	1
MAPKAPK2	1	BAG2	P49137	O95816	1	1
MAGED1	1	Skeletal Muscle Differentiation	Q9Y5V3	SIGNOR-PH1	1	0
CSNK2A1	1	RNF7	P68400	Q9UBF6	1	1
PRKCA	1	IQGAP1	P17252	P46940	1	1
IL21R	1	STAT3	Q9HBE5	P40763	1	1
PRKCE	1	IQGAP1	Q02156	P46940	1	1
CSNK2A1	1	CDK1	P68400	P06493	1	1
TNFSF10	1	TNFRSF10B	P50591	O14763	1	1
NR3C1	1	CEBPA	P04150	P49715	1	1
PTGER2	1	GNAS	P43116	P63092	1	1
CTBP1	1	BHLHE41	Q13363	Q9C0J9	1	1
rapamycin	-1	MTOR	CID:5284616	P42345	0	1
CSNK1G2	-1	SMAD3	P78368	P84022	1	1
PLA2G16	-1	PPP2CA	P53816	P67775	1	1
mTORC1	1	PPARG	SIGNOR-C3	P37231	0	1
UBR1	1	RECQL4	Q8IWV7	O94761	1	1
WNT7B	1	FZD1	P56706	Q9UP38	1	1
WNT7B	1	FZD10	P56706	Q9ULW2	1	1
lysophosphatidic acid	1	LPAR1	CID:5497152	Q92633	0	1
IFNGR1	1	JAK2	P15260	O60674	1	1
KLK2	1	NCOA4	P20151	Q13772	1	1
IRF5	-1	IL10	Q13568	P22301	1	1
IL1B	1	IL1R1	P01584	P14778	1	1
PPP2CA	-1	MEK1/2	P67775	SIGNOR-PF25	1	0
lysophosphatidic acid	1	LPAR3	CID:5497152	Q9UBY5	0	1
AKT1	1	CLK2	P31749	P49760	1	1
CSNK2A1	1	XRCC1	P68400	P18887	1	1
STIL	1	PIN1	Q15468	Q13526	1	1
UBR2	1	RECQL4	Q8IWV8	O94761	1	1
CRIPAK	1	PAK1	Q8N1N5	Q13153	1	1
mTORC1	1	Adipogenesis	SIGNOR-C3	SIGNOR-PH26	0	0
RHEB	1	mTORC1	Q15382	SIGNOR-C3	1	0
BMP10	1	BMPR1A	O95393	P36894	1	1
LCK	1	MED28	P06239	Q9H204	1	1
PLK1	1	PIN1	P53350	Q13526	1	1
CDK1	1	RUNX2	P06493	Q13950	1	1
CAMKK2	1	PRKAA2	Q96RR4	P54646	1	1
CAMK2B	1	PRKAA1	Q13554	Q13131	1	1
CDK6	1	CDKN1B	Q00534	P46527	1	1
MAPK3	1	MYL1	P27361	P05976	1	1
Synthetic bradykinin	1	BDKRB1	CID:6026	P46663	0	1
CRTC3	1	BCL3	Q6UUV7	P20749	1	1
PRKACA	1	AKT2	P17612	P31751	1	1
PRDM16	1	PPARG	Q9HAZ2	P37231	1	1
